Entity,crop,total_yield_per_crop,total_yield_per_country,global_yield,pct_yield_share
Iran,maize_yield,6.96,196.49,12893.35,0.0152
Iran,millet_yield,1.87,196.49,12893.35,0.0152
Morocco,maize_yield,0.8,194.2,12893.35,0.0151
Morocco,wheat_yield,2.58,194.2,12893.35,0.0151
Morocco,rice_yield,7.79,194.2,12893.35,0.0151
Morocco,groundnut_yield,2.5,194.2,12893.35,0.0151
Morocco,rapeseed_yield,1.06,194.2,12893.35,0.0151
Morocco,barley_yield,1.82,194.2,12893.35,0.0151
Morocco,sugarbeet_yield,68.76,194.2,12893.35,0.0151
Morocco,rye_yield,0.64,194.2,12893.35,0.0151
Morocco,potato_yield,30.13,194.2,12893.35,0.0151
Morocco,sunflower_yield,1.73,194.2,12893.35,0.0151
Morocco,soybean_yield,0.96,194.2,12893.35,0.0151
Morocco,sugarcane_yield,70.45,194.2,12893.35,0.0151
Morocco,millet_yield,1.99,194.2,12893.35,0.0151
Morocco,cotton_yield,2.09,194.2,12893.35,0.0151
Morocco,sorghum_yield,0.9,194.2,12893.35,0.0151
Colombia,cotton_yield,2.33,188.53,12893.35,0.0146
Colombia,barley_yield,2.15,188.53,12893.35,0.0146
Colombia,groundnut_yield,1.08,188.53,12893.35,0.0146
Colombia,rice_yield,5.22,188.53,12893.35,0.0146
Colombia,sorghum_yield,2.22,188.53,12893.35,0.0146
Colombia,cassava_yield,9.88,188.53,12893.35,0.0146
Colombia,oilpalm_yield,19.79,188.53,12893.35,0.0146
Colombia,sugarcane_yield,88.76,188.53,12893.35,0.0146
Colombia,sugarbeet_yield,27.17,188.53,12893.35,0.0146
Colombia,maize_yield,3.55,188.53,12893.35,0.0146
Colombia,soybean_yield,2.75,188.53,12893.35,0.0146
Colombia,wheat_yield,1.64,188.53,12893.35,0.0146
Colombia,potato_yield,21.99,188.53,12893.35,0.0146
Mexico,rice_yield,5.61,174.7,12893.35,0.0135
Mexico,cassava_yield,13.01,174.7,12893.35,0.0135
Mexico,oilpalm_yield,13.5,174.7,12893.35,0.0135
Mexico,groundnut_yield,1.75,174.7,12893.35,0.0135
Mexico,sugarcane_yield,72.33,174.7,12893.35,0.0135
Mexico,potato_yield,26.54,174.7,12893.35,0.0135
Mexico,sunflower_yield,1.43,174.7,12893.35,0.0135
Mexico,barley_yield,2.86,174.7,12893.35,0.0135
Mexico,soybean_yield,1.7,174.7,12893.35,0.0135
Mexico,sorghum_yield,3.48,174.7,12893.35,0.0135
Mexico,rapeseed_yield,1.0,174.7,12893.35,0.0135
Mexico,millet_yield,1.74,174.7,12893.35,0.0135
Mexico,sugarbeet_yield,18.53,174.7,12893.35,0.0135
Mexico,cotton_yield,2.74,174.7,12893.35,0.0135
Mexico,maize_yield,3.81,174.7,12893.35,0.0135
Mexico,wheat_yield,4.67,174.7,12893.35,0.0135
Japan,maize_yield,2.66,168.29,12893.35,0.0131
Japan,potato_yield,30.87,168.29,12893.35,0.0131
Japan,groundnut_yield,2.45,168.29,12893.35,0.0131
Japan,rapeseed_yield,1.63,168.29,12893.35,0.0131
Japan,wheat_yield,3.61,168.29,12893.35,0.0131
Japan,millet_yield,0.79,168.29,12893.35,0.0131
Japan,sugarbeet_yield,63.02,168.29,12893.35,0.0131
Japan,sugarcane_yield,52.34,168.29,12893.35,0.0131
Japan,soybean_yield,1.44,168.29,12893.35,0.0131
Japan,rice_yield,6.62,168.29,12893.35,0.0131
Japan,barley_yield,2.86,168.29,12893.35,0.0131
Portugal,rice_yield,5.47,163.43,12893.35,0.0127
Portugal,maize_yield,8.45,163.43,12893.35,0.0127
Portugal,wheat_yield,2.51,163.43,12893.35,0.0127
Portugal,sugarcane_yield,89.29,163.43,12893.35,0.0127
Portugal,sugarbeet_yield,31.69,163.43,12893.35,0.0127
Portugal,barley_yield,2.42,163.43,12893.35,0.0127
Portugal,rye_yield,1.06,163.43,12893.35,0.0127
Portugal,potato_yield,20.75,163.43,12893.35,0.0127
Portugal,sunflower_yield,1.79,163.43,12893.35,0.0127
Peru,maize_yield,3.44,162.69,12893.35,0.0126
Peru,cotton_yield,2.94,162.69,12893.35,0.0126
Peru,soybean_yield,1.84,162.69,12893.35,0.0126
Peru,rice_yield,7.36,162.69,12893.35,0.0126
Peru,cassava_yield,12.18,162.69,12893.35,0.0126
Peru,sorghum_yield,3.86,162.69,12893.35,0.0126
Peru,rye_yield,1.09,162.69,12893.35,0.0126
Peru,barley_yield,1.56,162.69,12893.35,0.0126
Peru,potato_yield,15.85,162.69,12893.35,0.0126
Peru,groundnut_yield,1.53,162.69,12893.35,0.0126
Peru,sugarcane_yield,95.58,162.69,12893.35,0.0126
Peru,oilpalm_yield,13.92,162.69,12893.35,0.0126
Peru,wheat_yield,1.54,162.69,12893.35,0.0126
France,sunflower_yield,2.26,161.57,12893.35,0.0125
France,rapeseed_yield,3.06,161.57,12893.35,0.0125
France,millet_yield,2.01,161.57,12893.35,0.0125
France,soybean_yield,2.6,161.57,12893.35,0.0125
France,rye_yield,4.5,161.57,12893.35,0.0125
France,wheat_yield,6.84,161.57,12893.35,0.0125
France,potato_yield,39.38,161.57,12893.35,0.0125
France,rice_yield,5.48,161.57,12893.35,0.0125
France,sorghum_yield,5.03,161.57,12893.35,0.0125
France,barley_yield,6.33,161.57,12893.35,0.0125
France,sugarbeet_yield,75.17,161.57,12893.35,0.0125
France,maize_yield,8.91,161.57,12893.35,0.0125
Pakistan,wheat_yield,2.85,159.97,12893.35,0.0124
Pakistan,millet_yield,0.77,159.97,12893.35,0.0124
Pakistan,groundnut_yield,0.99,159.97,12893.35,0.0124
Pakistan,rapeseed_yield,1.17,159.97,12893.35,0.0124
Pakistan,maize_yield,4.16,159.97,12893.35,0.0124
Pakistan,barley_yield,0.96,159.97,12893.35,0.0124
Pakistan,sunflower_yield,1.41,159.97,12893.35,0.0124
Pakistan,cotton_yield,1.87,159.97,12893.35,0.0124
Pakistan,sugarbeet_yield,55.79,159.97,12893.35,0.0124
Pakistan,rice_yield,3.84,159.97,12893.35,0.0124
Pakistan,sorghum_yield,0.62,159.97,12893.35,0.0124
Pakistan,sugarcane_yield,60.96,159.97,12893.35,0.0124
Pakistan,soybean_yield,0.97,159.97,12893.35,0.0124
Pakistan,potato_yield,23.61,159.97,12893.35,0.0124
Syria,sunflower_yield,1.37,159.48,12893.35,0.0124
Syria,soybean_yield,2.22,159.48,12893.35,0.0124
Syria,sugarbeet_yield,48.62,159.48,12893.35,0.0124
Syria,cotton_yield,0.63,159.48,12893.35,0.0124
Syria,maize_yield,3.8,159.48,12893.35,0.0124
Syria,sorghum_yield,1.61,159.48,12893.35,0.0124
Syria,barley_yield,0.87,159.48,12893.35,0.0124
Syria,potato_yield,19.69,159.48,12893.35,0.0124
Syria,groundnut_yield,2.57,159.48,12893.35,0.0124
Syria,sugarcane_yield,74.25,159.48,12893.35,0.0124
Syria,millet_yield,1.73,159.48,12893.35,0.0124
Syria,wheat_yield,2.12,159.48,12893.35,0.0124
Brazil,cassava_yield,14.64,155.26,12893.35,0.012
Brazil,rice_yield,5.95,155.26,12893.35,0.012
Brazil,cotton_yield,2.84,155.26,12893.35,0.012
Brazil,wheat_yield,2.62,155.26,12893.35,0.012
Brazil,groundnut_yield,2.88,155.26,12893.35,0.012
Brazil,soybean_yield,2.87,155.26,12893.35,0.012
Brazil,rapeseed_yield,1.25,155.26,12893.35,0.012
Brazil,sugarcane_yield,74.37,155.26,12893.35,0.012
Brazil,sunflower_yield,1.47,155.26,12893.35,0.012
Brazil,maize_yield,5.06,155.26,12893.35,0.012
Brazil,sorghum_yield,2.86,155.26,12893.35,0.012
Brazil,potato_yield,24.1,155.26,12893.35,0.012
Brazil,oilpalm_yield,14.35,155.26,12893.35,0.012
Nicaragua,sorghum_yield,1.61,154.92,12893.35,0.012
Nicaragua,potato_yield,19.29,154.92,12893.35,0.012
Nicaragua,cotton_yield,2.23,154.92,12893.35,0.012
Nicaragua,groundnut_yield,2.22,154.92,12893.35,0.012
Nicaragua,sugarcane_yield,92.32,154.92,12893.35,0.012
Nicaragua,soybean_yield,2.5,154.92,12893.35,0.012
Nicaragua,cassava_yield,9.07,154.92,12893.35,0.012
Nicaragua,rice_yield,5.18,154.92,12893.35,0.012
Nicaragua,oilpalm_yield,19.1,154.92,12893.35,0.012
Nicaragua,maize_yield,1.4,154.92,12893.35,0.012
Guatemala,cotton_yield,2.84,150.18,12893.35,0.0116
Guatemala,oilpalm_yield,13.04,150.18,12893.35,0.0116
Guatemala,potato_yield,23.37,150.18,12893.35,0.0116
Guatemala,sugarcane_yield,93.92,150.18,12893.35,0.0116
Guatemala,wheat_yield,2.16,150.18,12893.35,0.0116
Guatemala,soybean_yield,2.53,150.18,12893.35,0.0116
Guatemala,maize_yield,2.16,150.18,12893.35,0.0116
Guatemala,rice_yield,2.88,150.18,12893.35,0.0116
Guatemala,sorghum_yield,1.9,150.18,12893.35,0.0116
Guatemala,groundnut_yield,2.52,150.18,12893.35,0.0116
Guatemala,barley_yield,1.84,150.18,12893.35,0.0116
Guatemala,cassava_yield,1.02,150.18,12893.35,0.0116
Australia,rice_yield,9.38,144.91,12893.35,0.0112
Australia,rye_yield,0.7,144.91,12893.35,0.0112
Australia,wheat_yield,1.92,144.91,12893.35,0.0112
Australia,sorghum_yield,2.72,144.91,12893.35,0.0112
Australia,maize_yield,7.2,144.91,12893.35,0.0112
Australia,cotton_yield,4.48,144.91,12893.35,0.0112
Australia,potato_yield,32.23,144.91,12893.35,0.0112
Australia,rapeseed_yield,1.23,144.91,12893.35,0.0112
Australia,sunflower_yield,1.67,144.91,12893.35,0.0112
Australia,millet_yield,1.02,144.91,12893.35,0.0112
Australia,barley_yield,2.24,144.91,12893.35,0.0112
Australia,groundnut_yield,2.78,144.91,12893.35,0.0112
Australia,sugarcane_yield,75.64,144.91,12893.35,0.0112
Australia,soybean_yield,1.7,144.91,12893.35,0.0112
Switzerland,soybean_yield,2.83,144.68,12893.35,0.0112
Switzerland,sugarbeet_yield,69.76,144.68,12893.35,0.0112
Switzerland,potato_yield,39.31,144.68,12893.35,0.0112
Switzerland,rapeseed_yield,3.31,144.68,12893.35,0.0112
Switzerland,sunflower_yield,2.62,144.68,12893.35,0.0112
Switzerland,wheat_yield,5.64,144.68,12893.35,0.0112
Switzerland,barley_yield,6.43,144.68,12893.35,0.0112
Switzerland,maize_yield,9.33,144.68,12893.35,0.0112
Switzerland,rye_yield,5.45,144.68,12893.35,0.0112
India,barley_yield,2.69,143.47,12893.35,0.0111
India,cotton_yield,1.15,143.47,12893.35,0.0111
India,potato_yield,22.49,143.47,12893.35,0.0111
India,groundnut_yield,1.36,143.47,12893.35,0.0111
India,millet_yield,1.28,143.47,12893.35,0.0111
India,cassava_yield,20.4,143.47,12893.35,0.0111
India,wheat_yield,3.37,143.47,12893.35,0.0111
India,sorghum_yield,0.97,143.47,12893.35,0.0111
India,maize_yield,3.02,143.47,12893.35,0.0111
India,rice_yield,3.88,143.47,12893.35,0.0111
India,sunflower_yield,0.71,143.47,12893.35,0.0111
India,sugarcane_yield,79.68,143.47,12893.35,0.0111
India,rapeseed_yield,1.26,143.47,12893.35,0.0111
India,soybean_yield,1.21,143.47,12893.35,0.0111
Thailand,oilpalm_yield,17.23,142.6,12893.35,0.0111
Thailand,sugarcane_yield,76.06,142.6,12893.35,0.0111
Thailand,sorghum_yield,2.0,142.6,12893.35,0.0111
Thailand,maize_yield,3.77,142.6,12893.35,0.0111
Thailand,wheat_yield,1.11,142.6,12893.35,0.0111
Thailand,potato_yield,16.38,142.6,12893.35,0.0111
Thailand,soybean_yield,1.75,142.6,12893.35,0.0111
Thailand,rice_yield,3.09,142.6,12893.35,0.0111
Thailand,sunflower_yield,0.81,142.6,12893.35,0.0111
Thailand,cotton_yield,1.5,142.6,12893.35,0.0111
Thailand,groundnut_yield,1.07,142.6,12893.35,0.0111
Thailand,cassava_yield,17.83,142.6,12893.35,0.0111
Malawi,sorghum_yield,0.78,141.75,12893.35,0.011
Malawi,cassava_yield,15.46,141.75,12893.35,0.011
Malawi,potato_yield,16.52,141.75,12893.35,0.011
Malawi,sugarcane_yield,100.39,141.75,12893.35,0.011
Malawi,rice_yield,1.76,141.75,12893.35,0.011
Malawi,soybean_yield,0.98,141.75,12893.35,0.011
Malawi,millet_yield,0.58,141.75,12893.35,0.011
Malawi,sunflower_yield,1.06,141.75,12893.35,0.011
Malawi,maize_yield,1.6,141.75,12893.35,0.011
Malawi,wheat_yield,1.23,141.75,12893.35,0.011
Malawi,groundnut_yield,0.85,141.75,12893.35,0.011
Malawi,cotton_yield,0.54,141.75,12893.35,0.011
El Salvador,cassava_yield,16.9,141.4,12893.35,0.011
El Salvador,sugarcane_yield,88.31,141.4,12893.35,0.011
El Salvador,maize_yield,2.53,141.4,12893.35,0.011
El Salvador,rice_yield,6.39,141.4,12893.35,0.011
El Salvador,potato_yield,22.65,141.4,12893.35,0.011
El Salvador,sorghum_yield,1.58,141.4,12893.35,0.011
El Salvador,soybean_yield,1.82,141.4,12893.35,0.011
El Salvador,cotton_yield,1.22,141.4,12893.35,0.011
Venezuela,sunflower_yield,0.89,141.22,12893.35,0.011
Venezuela,wheat_yield,2.97,141.22,12893.35,0.011
Venezuela,soybean_yield,1.0,141.22,12893.35,0.011
Venezuela,potato_yield,18.84,141.22,12893.35,0.011
Venezuela,groundnut_yield,2.0,141.22,12893.35,0.011
Venezuela,maize_yield,3.24,141.22,12893.35,0.011
Venezuela,oilpalm_yield,10.29,141.22,12893.35,0.011
Venezuela,sorghum_yield,2.02,141.22,12893.35,0.011
Venezuela,sugarcane_yield,61.53,141.22,12893.35,0.011
Venezuela,cassava_yield,12.24,141.22,12893.35,0.011
Venezuela,cotton_yield,1.07,141.22,12893.35,0.011
Venezuela,rice_yield,4.16,141.22,12893.35,0.011
Venezuela,sugarbeet_yield,20.97,141.22,12893.35,0.011
Turkey,maize_yield,8.92,140.36,12893.35,0.0109
Turkey,millet_yield,2.01,140.36,12893.35,0.0109
Turkey,sunflower_yield,1.95,140.36,12893.35,0.0109
Turkey,soybean_yield,2.64,140.36,12893.35,0.0109
Turkey,potato_yield,33.48,140.36,12893.35,0.0109
Turkey,sugarbeet_yield,61.55,140.36,12893.35,0.0109
Turkey,groundnut_yield,3.79,140.36,12893.35,0.0109
Turkey,sorghum_yield,3.0,140.36,12893.35,0.0109
Turkey,rye_yield,2.89,140.36,12893.35,0.0109
Turkey,cotton_yield,4.26,140.36,12893.35,0.0109
Turkey,barley_yield,2.69,140.36,12893.35,0.0109
Turkey,rapeseed_yield,2.62,140.36,12893.35,0.0109
Turkey,rice_yield,7.82,140.36,12893.35,0.0109
Turkey,wheat_yield,2.74,140.36,12893.35,0.0109
Netherlands,barley_yield,7.03,138.83,12893.35,0.0108
Netherlands,wheat_yield,8.5,138.83,12893.35,0.0108
Netherlands,rapeseed_yield,2.9,138.83,12893.35,0.0108
Netherlands,sugarbeet_yield,71.92,138.83,12893.35,0.0108
Netherlands,maize_yield,9.01,138.83,12893.35,0.0108
Netherlands,potato_yield,36.61,138.83,12893.35,0.0108
Netherlands,rye_yield,2.86,138.83,12893.35,0.0108
Senegal,sorghum_yield,0.86,135.87,12893.35,0.0105
Senegal,cotton_yield,1.03,135.87,12893.35,0.0105
Senegal,potato_yield,22.11,135.87,12893.35,0.0105
Senegal,rice_yield,4.38,135.87,12893.35,0.0105
Senegal,millet_yield,0.7,135.87,12893.35,0.0105
Senegal,cassava_yield,9.59,135.87,12893.35,0.0105
Senegal,sugarcane_yield,83.6,135.87,12893.35,0.0105
Senegal,maize_yield,1.47,135.87,12893.35,0.0105
Senegal,groundnut_yield,0.88,135.87,12893.35,0.0105
Senegal,oilpalm_yield,11.25,135.87,12893.35,0.0105
Chile,rye_yield,4.87,133.97,12893.35,0.0104
Chile,sugarbeet_yield,69.39,133.97,12893.35,0.0104
Chile,wheat_yield,5.52,133.97,12893.35,0.0104
Chile,potato_yield,28.67,133.97,12893.35,0.0104
Chile,rice_yield,6.53,133.97,12893.35,0.0104
Chile,maize_yield,10.56,133.97,12893.35,0.0104
Chile,rapeseed_yield,2.41,133.97,12893.35,0.0104
Chile,sunflower_yield,1.29,133.97,12893.35,0.0104
Chile,barley_yield,4.73,133.97,12893.35,0.0104
Costa Rica,oilpalm_yield,14.14,133.64,12893.35,0.0104
Costa Rica,sugarcane_yield,73.69,133.64,12893.35,0.0104
Costa Rica,groundnut_yield,1.09,133.64,12893.35,0.0104
Costa Rica,cotton_yield,0.71,133.64,12893.35,0.0104
Costa Rica,cassava_yield,15.0,133.64,12893.35,0.0104
Costa Rica,maize_yield,1.62,133.64,12893.35,0.0104
Costa Rica,potato_yield,22.84,133.64,12893.35,0.0104
Costa Rica,rice_yield,4.55,133.64,12893.35,0.0104
Panama,potato_yield,22.86,132.81,12893.35,0.0103
Panama,sorghum_yield,2.05,132.81,12893.35,0.0103
Panama,maize_yield,2.17,132.81,12893.35,0.0103
Panama,rice_yield,3.34,132.81,12893.35,0.0103
Panama,cassava_yield,16.2,132.81,12893.35,0.0103
Panama,oilpalm_yield,10.16,132.81,12893.35,0.0103
Panama,sugarcane_yield,75.65,132.81,12893.35,0.0103
Panama,soybean_yield,0.38,132.81,12893.35,0.0103
Honduras,potato_yield,14.82,132.17,12893.35,0.0103
Honduras,soybean_yield,2.11,132.17,12893.35,0.0103
Honduras,wheat_yield,0.56,132.17,12893.35,0.0103
Honduras,sugarcane_yield,83.16,132.17,12893.35,0.0103
Honduras,rice_yield,4.03,132.17,12893.35,0.0103
Honduras,groundnut_yield,0.54,132.17,12893.35,0.0103
Honduras,maize_yield,1.8,132.17,12893.35,0.0103
Honduras,cassava_yield,9.09,132.17,12893.35,0.0103
Honduras,sorghum_yield,1.11,132.17,12893.35,0.0103
Honduras,oilpalm_yield,13.13,132.17,12893.35,0.0103
Honduras,cotton_yield,1.82,132.17,12893.35,0.0103
Austria,wheat_yield,4.68,131.9,12893.35,0.0102
Austria,sugarbeet_yield,68.82,131.9,12893.35,0.0102
Austria,millet_yield,2.01,131.9,12893.35,0.0102
Austria,potato_yield,29.38,131.9,12893.35,0.0102
Austria,rye_yield,4.36,131.9,12893.35,0.0102
Austria,barley_yield,4.99,131.9,12893.35,0.0102
Austria,rapeseed_yield,2.98,131.9,12893.35,0.0102
Austria,maize_yield,9.55,131.9,12893.35,0.0102
Austria,sunflower_yield,2.4,131.9,12893.35,0.0102
Austria,soybean_yield,2.73,131.9,12893.35,0.0102
Greece,barley_yield,2.67,131.59,12893.35,0.0102
Greece,cotton_yield,3.15,131.59,12893.35,0.0102
Greece,sorghum_yield,2.33,131.59,12893.35,0.0102
Greece,groundnut_yield,3.32,131.59,12893.35,0.0102
Greece,sugarbeet_yield,62.26,131.59,12893.35,0.0102
Greece,potato_yield,27.68,131.59,12893.35,0.0102
Greece,rapeseed_yield,1.87,131.59,12893.35,0.0102
Greece,rye_yield,1.86,131.59,12893.35,0.0102
Greece,rice_yield,7.34,131.59,12893.35,0.0102
Greece,wheat_yield,2.65,131.59,12893.35,0.0102
Greece,soybean_yield,2.82,131.59,12893.35,0.0102
Greece,sunflower_yield,1.85,131.59,12893.35,0.0102
Greece,maize_yield,9.78,131.59,12893.35,0.0102
Greece,millet_yield,2.01,131.59,12893.35,0.0102
Ethiopia,cotton_yield,1.32,131.26,12893.35,0.0102
Ethiopia,sugarcane_yield,97.46,131.26,12893.35,0.0102
Ethiopia,barley_yield,2.17,131.26,12893.35,0.0102
Ethiopia,millet_yield,1.76,131.26,12893.35,0.0102
Ethiopia,rapeseed_yield,1.8,131.26,12893.35,0.0102
Ethiopia,rice_yield,3.04,131.26,12893.35,0.0102
Ethiopia,potato_yield,11.1,131.26,12893.35,0.0102
Ethiopia,groundnut_yield,1.75,131.26,12893.35,0.0102
Ethiopia,maize_yield,3.29,131.26,12893.35,0.0102
Ethiopia,wheat_yield,2.42,131.26,12893.35,0.0102
Ethiopia,sorghum_yield,2.7,131.26,12893.35,0.0102
Ethiopia,soybean_yield,2.45,131.26,12893.35,0.0102
Ecuador,barley_yield,1.44,129.93,12893.35,0.0101
Ecuador,potato_yield,12.18,129.93,12893.35,0.0101
Ecuador,cotton_yield,1.29,129.93,12893.35,0.0101
Ecuador,sugarcane_yield,75.89,129.93,12893.35,0.0101
Ecuador,cassava_yield,6.03,129.93,12893.35,0.0101
Ecuador,soybean_yield,1.1,129.93,12893.35,0.0101
Ecuador,rye_yield,0.63,129.93,12893.35,0.0101
Ecuador,oilpalm_yield,12.44,129.93,12893.35,0.0101
Ecuador,maize_yield,3.62,129.93,12893.35,0.0101
Ecuador,sugarbeet_yield,6.2,129.93,12893.35,0.0101
Ecuador,groundnut_yield,1.25,129.93,12893.35,0.0101
Ecuador,sorghum_yield,1.62,129.93,12893.35,0.0101
Ecuador,rice_yield,4.53,129.93,12893.35,0.0101
Ecuador,wheat_yield,1.71,129.93,12893.35,0.0101
Germany,sunflower_yield,1.59,129.0,12893.35,0.01
Germany,maize_yield,8.14,129.0,12893.35,0.01
Germany,sugarbeet_yield,61.65,129.0,12893.35,0.01
Germany,barley_yield,5.91,129.0,12893.35,0.01
Germany,potato_yield,35.37,129.0,12893.35,0.01
Germany,soybean_yield,2.46,129.0,12893.35,0.01
Germany,wheat_yield,6.67,129.0,12893.35,0.01
Germany,rye_yield,4.21,129.0,12893.35,0.01
Germany,rapeseed_yield,3.0,129.0,12893.35,0.01
Zambia,barley_yield,1.04,127.06,12893.35,0.0099
Zambia,sorghum_yield,0.65,127.06,12893.35,0.0099
Zambia,millet_yield,0.78,127.06,12893.35,0.0099
Zambia,wheat_yield,4.57,127.06,12893.35,0.0099
Zambia,sunflower_yield,0.52,127.06,12893.35,0.0099
Zambia,soybean_yield,1.58,127.06,12893.35,0.0099
Zambia,sugarcane_yield,99.48,127.06,12893.35,0.0099
Zambia,maize_yield,2.21,127.06,12893.35,0.0099
Zambia,cassava_yield,5.79,127.06,12893.35,0.0099
Zambia,potato_yield,7.49,127.06,12893.35,0.0099
Zambia,cotton_yield,0.83,127.06,12893.35,0.0099
Zambia,groundnut_yield,0.7,127.06,12893.35,0.0099
Zambia,rice_yield,1.42,127.06,12893.35,0.0099
South Africa,sorghum_yield,3.99,126.19,12893.35,0.0098
South Africa,barley_yield,2.83,126.19,12893.35,0.0098
South Africa,sugarcane_yield,67.55,126.19,12893.35,0.0098
South Africa,maize_yield,5.39,126.19,12893.35,0.0098
South Africa,sunflower_yield,1.43,126.19,12893.35,0.0098
South Africa,rye_yield,1.22,126.19,12893.35,0.0098
South Africa,rice_yield,2.79,126.19,12893.35,0.0098
South Africa,wheat_yield,3.71,126.19,12893.35,0.0098
South Africa,potato_yield,31.07,126.19,12893.35,0.0098
South Africa,groundnut_yield,1.01,126.19,12893.35,0.0098
South Africa,millet_yield,0.49,126.19,12893.35,0.0098
South Africa,soybean_yield,1.96,126.19,12893.35,0.0098
South Africa,cotton_yield,2.75,126.19,12893.35,0.0098
Italy,rapeseed_yield,2.72,125.04,12893.35,0.0097
Italy,wheat_yield,3.81,125.04,12893.35,0.0097
Italy,sunflower_yield,2.15,125.04,12893.35,0.0097
Italy,soybean_yield,3.24,125.04,12893.35,0.0097
Italy,rice_yield,6.59,125.04,12893.35,0.0097
Italy,maize_yield,9.8,125.04,12893.35,0.0097
Italy,rye_yield,3.01,125.04,12893.35,0.0097
Italy,potato_yield,28.16,125.04,12893.35,0.0097
Italy,sorghum_yield,5.28,125.04,12893.35,0.0097
Italy,barley_yield,3.85,125.04,12893.35,0.0097
Italy,sugarbeet_yield,56.43,125.04,12893.35,0.0097
Argentina,millet_yield,1.25,124.08,12893.35,0.0096
Argentina,rapeseed_yield,1.95,124.08,12893.35,0.0096
Argentina,maize_yield,6.09,124.08,12893.35,0.0096
Argentina,groundnut_yield,2.08,124.08,12893.35,0.0096
Argentina,wheat_yield,3.18,124.08,12893.35,0.0096
Argentina,cotton_yield,2.55,124.08,12893.35,0.0096
Argentina,sugarcane_yield,44.67,124.08,12893.35,0.0096
Argentina,sorghum_yield,3.57,124.08,12893.35,0.0096
Argentina,barley_yield,3.53,124.08,12893.35,0.0096
Argentina,soybean_yield,2.32,124.08,12893.35,0.0096
Argentina,rye_yield,1.91,124.08,12893.35,0.0096
Argentina,potato_yield,32.2,124.08,12893.35,0.0096
Argentina,cassava_yield,10.01,124.08,12893.35,0.0096
